,Dataset,Num_of_Test,Len_of_Anomaly,Anomaly_Ratio,Precision(w.o. Adjustment),Recall(w.o. Adjustment),F1(w.o. Adjustment),Precision(w. Adjustment),Recall(w. Adjustment),F1(w. Adjustment),Best_F1_Score,AUC
24,G-1,8469,120.0,0.014169323414806943,0.33613445378151263,0.3333333333333333,0.33472803347280333,0.6030150753768844,1.0,0.7523510971786833,0.4899135446685879,0.9832737662547452
25,G-2,7361,40.0,0.005434044287460943,0.525,0.525,0.525,0.6779661016949152,1.0,0.8080808080808081,0.8080808080808081,0.9973940474557673
26,D-5,7628,50.0,0.006554798112218143,0.84,0.84,0.8399999999999999,0.8620689655172413,1.0,0.9259259259259259,0.8288288288288288,0.9493402225755166
27,D-6,7884,80.0,0.010147133434804667,0.7625,0.7625,0.7625,0.8080808080808081,1.0,0.893854748603352,0.8531468531468531,0.9130048880885
28,D-7,7642,2701.0,0.35344150745878045,1.0,0.28555389221556887,0.4442503639010189,1.0,1.0,1.0,0.2964615875039847,0.3025399100584257
29,F-1,8584,100.0,0.011649580615097856,0.11,0.11,0.11,0.5291005291005291,1.0,0.6920415224913494,0.13986013986013987,0.533948548501298
30,P-4,7783,440.0,0.05653347038417063,1.0,0.43863636363636366,0.6097946287519748,1.0,1.0,1.0,0.6097946287519748,0.5971141056400184
31,G-3,7907,50.0,0.006323510813203491,0.25,0.24,0.24489795918367346,0.5813953488372093,1.0,0.7352941176470588,0.36923076923076925,0.32605701990317376
32,T-1,8612,1534.0,0.17812354853692522,0.027686222808174028,0.027379400260756193,0.02753195673549656,0.5098039215686274,1.0,0.6753246753246753,0.04438807863031072,0.2942823227474288
33,T-2,8625,1784.0,0.20684057971014494,0.19047619047619047,0.1991701244813278,0.1947261663286004,0.5415730337078651,1.0,0.7026239067055394,0.24094488188976376,0.3867317845096836
34,D-8,7874,50.0,0.0063500127000254,0.72,0.72,0.72,0.78125,1.0,0.8771929824561403,0.8363636363636363,0.9584295612009238
35,D-9,7406,1155.0,0.15595463137996218,0.2390139335476956,1.0,0.38581314878892736,0.2390139335476956,1.0,0.38581314878892736,0.0,0.8864
36,F-2,8626,2956.0,0.34268490609784374,0.6548067054396168,0.6692307692307692,0.6619401694622168,0.7392090979581287,1.0,0.8500520136721652,0.33611634796660383,0.7765200137664416
37,G-4,7632,30.0,0.003930817610062893,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.6976744186046512,1.0,0.8219178082191781,0.6956521739130436,0.9960833887779996
38,T-3,8579,182.0,0.02121459377549831,0.8888888888888888,0.8791208791208791,0.883977900552486,0.900990099009901,1.0,0.9479166666666667,0.8934010152284264,0.9993040822758827
39,D-11,7431,60.0,0.008074283407347598,0.6122448979591837,0.5,0.5504587155963303,0.759493670886076,1.0,0.8633093525179857,0.6666666666666666,0.5301684602461065
40,D-12,7918,2739.0,0.3459206870421824,1.0,0.24686346863468633,0.3959751405741343,1.0,1.0,1.0,0.3959751405741343,0.27544008927922414
41,B-1,8044,70.0,0.00870213823968175,0.5666666666666667,0.24285714285714285,0.33999999999999997,0.8433734939759037,1.0,0.9150326797385622,0.33999999999999997,0.8609264853977845
42,G-6,8640,100.0,0.011574074074074073,0.32,0.32,0.32,0.5952380952380952,1.0,0.7462686567164178,0.47407407407407415,0.6522867215041128
43,G-7,8029,265.0,0.03300535558600075,0.751937984496124,0.7320754716981132,0.7418738049713193,0.8054711246200608,1.0,0.8922558922558922,0.8168421052631578,0.8479717224652009
44,P-7,8071,1650.0,0.2044356337504646,0.8624923265807244,0.8515151515151516,0.8569685879841415,0.880469583778015,1.0,0.9364358683314415,0.6514098896608091,0.8735485572611699
45,R-1,7244,80.0,0.011043622308117063,1.0,0.75,0.8571428571428571,1.0,1.0,1.0,0.8571428571428571,0.8755256518082423
46,A-5,4693,50.0,0.010654165778819518,0.64,0.64,0.64,0.7352941176470589,1.0,0.8474576271186441,0.7241379310344828,0.8393453284196835
47,A-6,4453,40.0,0.008982708286548395,0.675,0.675,0.675,0.7547169811320755,1.0,0.8602150537634409,0.8297872340425532,0.9981918777093315
48,A-7,8631,2400.0,0.2780674313521029,0.6085141903171953,0.6075,0.6080066722268558,0.7189934092270821,1.0,0.8365284071104914,0.04782342121397915,0.839870315264597
49,D-13,7663,160.0,0.020879551089651574,0.9647887323943662,0.85625,0.9072847682119205,0.9696969696969697,1.0,0.9846153846153847,0.9072847682119205,0.9641856516793792
50,A-8,8375,3805.0,0.45432835820895523,0.5915533699739659,0.6724761591581716,0.6294244382887042,0.6829103974848417,1.0,0.8115825994128637,0.23934771173066804,0.7406574293728039
51,A-9,8434,3864.0,0.4581456011382499,0.6137662337662337,0.6161668839634942,0.6149642160052049,0.7205937617437054,1.0,0.8376105711477557,0.19674935842600513,0.6721219441831081
52,F-3,8376,40.0,0.004775549188156638,0.575,0.575,0.575,0.7017543859649122,1.0,0.8247422680412371,0.6593406593406592,0.7500902961714423
